,id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_Type,fl_double_glazing,cadastral_income
0,9915683,428000,0.0,HOUSE,Wallonia,Hainaut,Thuin,6540,50.3570851,4.2806513,,209.0,724.0,,3.0,,0,0,0,0.0,0,0,0,1,,,,,0,0
1,11304044,3700000,0.0,HOUSE,Brussels-Capital,Brussels,Brussels,1050,50.8130998,4.3677586,1924.0,842.0,2190.0,3.0,7.0,USA_HYPER_EQUIPPED,0,0,1,70.0,1,1,1,1,5.0,329.0,2.0,GAS,1,0
2,10646009,420000,0.0,HOUSE,Wallonia,Hainaut,Soignies,7850,50.6995465,4.0541307,,184.0,519.0,3.0,3.0,INSTALLED,0,0,1,24.0,1,300,0,1,,63.0,7.0,,0,0
3,11305329,240000,1.0,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1000,50.8520143,4.3653412,1960.0,50.0,,2.0,1.0,HYPER_EQUIPPED,0,0,1,7.0,0,0,0,0,5.0,122.0,5.0,GAS,1,1110
4,11155772,365000,0.0,HOUSE,Flanders,East Flanders,Gent,9030,51.0760257,3.6980731,1965.0,169.0,249.0,,3.0,,0,0,0,0.0,0,0,0,0,2.0,632.0,2.0,CARBON,1,788
5,10646004,435000,0.0,HOUSE,Wallonia,Hainaut,Soignies,7850,50.6995465,4.0541307,,186.0,355.0,2.0,3.0,INSTALLED,0,0,1,24.0,1,200,0,1,,63.0,7.0,,0,0
6,11210991,1490000,0.0,VILLA,Flanders,Antwerp,Antwerp,2970,51.2360967,4.5396552,1974.0,410.0,2051.0,4.0,4.0,HYPER_EQUIPPED,0,0,0,0.0,1,1797,0,0,5.0,193.0,6.0,FUELOIL,0,5592
7,11255037,269000,0.0,HOUSE,Flanders,West Flanders,Roeselare,8800,50.9690264,3.1488316,1969.0,133.0,437.0,3.0,3.0,,0,0,0,0.0,1,300,0,0,3.0,762.0,2.0,,1,0
8,11284416,595000,0.0,VILLA,Wallonia,Liège,Huy,4500,50.5222586,5.2680306,1965.0,300.0,5026.0,4.0,6.0,SEMI_EQUIPPED,0,0,0,0.0,0,0,0,1,3.0,306.0,4.0,FUELOIL,0,0
9,11295371,410000,1.0,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.8558275,4.3486442,2023.0,68.0,,4.0,1.0,USA_HYPER_EQUIPPED,0,0,1,5.0,0,0,0,1,5.0,45.0,7.0,GAS,1,0
